appid,hw_ram_gb,hw_storage_gb,hw_has_gpu_req,parse_success
1097880,2.0,2.051,0,True
280180,4.0,2.0,1,True
937170,2.0,3.0,1,True
1265820,4.0,1.0,0,True
702670,2.0,0.488,1,True
1534980,2.0,0.879,1,True
1172450,4.0,2.0,1,True
2200780,4.0,4.0,1,True
432100,1.0,0.586,0,True
571310,1.0,0.342,1,True
873840,4.0,4.0,1,True
1875060,8.0,3.0,1,True
358090,6.0,10.0,1,True
1155970,2.0,2.0,1,True
2366980,4.0,1.0,1,True
206190,1.0,0.684,0,True
259680,0.5,0.5,0,True
787810,4.0,0.293,1,True
870200,4.0,1.0,1,True
231160,1.0,1.0,1,True
427250,4.0,2.0,1,True
1272160,1.0,3.0,0,True
1012840,4.0,15.0,1,True
809230,4.0,5.0,1,True
2754380,8.0,1.0,1,True
1390410,8.0,7.0,1,True
384740,2.0,5.0,1,True
224480,2.0,3.0,1,True
979120,8.0,1.0,1,True
2455060,8.0,20.0,1,True
1996010,4.0,2.0,1,True
2073250,6.0,1.0,1,True
405640,2.0,0.391,0,True
306660,2.0,2.0,1,True
1340480,8.0,1.0,1,True
906100,4.0,12.0,1,True
325210,4.0,1.0,1,True
1181140,4.0,2.344,1,True
204340,0.25,3.0,1,True
1186400,2.0,0.293,1,True
1227690,8.0,1.0,1,True
842100,8.0,23.0,1,True
2533960,2.0,0.488,1,True
1157220,3.0,2.0,1,True
515960,8.0,30.0,1,True
1786790,4.0,1.0,1,True
340490,4.0,1.172,1,True
343780,1.0,0.015,1,True
250340,0.5,2.0,0,True
860950,4.0,8.0,1,True
